split,low_image,high_image,low_size,high_size,status
lolv2_synthetic,r11850456t.png,r11850456t.png,384x384,384x384,valid
lolv2_synthetic,r12133015t.png,r12133015t.png,384x384,384x384,valid
lolv2_synthetic,r125034a9t.png,r125034a9t.png,384x384,384x384,valid
lolv2_synthetic,r125442fat.png,r125442fat.png,384x384,384x384,valid
lolv2_synthetic,r127608abt.png,r127608abt.png,384x384,384x384,valid
lolv2_synthetic,r12946364t.png,r12946364t.png,384x384,384x384,valid
lolv2_synthetic,r1301676dt.png,r1301676dt.png,384x384,384x384,valid
lolv2_synthetic,r13073518t.png,r13073518t.png,384x384,384x384,valid
lolv2_synthetic,r1372056ct.png,r1372056ct.png,384x384,384x384,valid
lolv2_synthetic,r13837601t.png,r13837601t.png,384x384,384x384,valid
lolv2_synthetic,r13907965t.png,r13907965t.png,384x384,384x384,valid
lolv2_synthetic,r13928401t.png,r13928401t.png,384x384,384x384,valid
lolv2_synthetic,r141665bdt.png,r141665bdt.png,384x384,384x384,valid
lolv2_synthetic,r141669e5t.png,r141669e5t.png,384x384,384x384,valid
lolv2_synthetic,r1419078bt.png,r1419078bt.png,384x384,384x384,valid
lolv2_synthetic,r142335f0t.png,r142335f0t.png,384x384,384x384,valid
lolv2_synthetic,r142787e2t.png,r142787e2t.png,384x384,384x384,valid
lolv2_synthetic,r14289905t.png,r14289905t.png,384x384,384x384,valid
lolv2_synthetic,r145215fft.png,r145215fft.png,384x384,384x384,valid
lolv2_synthetic,r145221d9t.png,r145221d9t.png,384x384,384x384,valid
lolv2_synthetic,r146771d7t.png,r146771d7t.png,384x384,384x384,valid
lolv2_synthetic,r150058a4t.png,r150058a4t.png,384x384,384x384,valid
lolv2_synthetic,r15885978t.png,r15885978t.png,384x384,384x384,valid
lolv2_synthetic,r15919202t.png,r15919202t.png,384x384,384x384,valid
lolv2_synthetic,r1602555bt.png,r1602555bt.png,384x384,384x384,valid
lolv2_synthetic,r163317d6t.png,r163317d6t.png,384x384,384x384,valid
lolv2_synthetic,r163967d4t.png,r163967d4t.png,384x384,384x384,valid
lolv2_synthetic,r16422663t.png,r16422663t.png,384x384,384x384,valid
lolv2_synthetic,r16509308t.png,r16509308t.png,384x384,384x384,valid
lolv2_synthetic,r165355c0t.png,r165355c0t.png,384x384,384x384,valid
lolv2_synthetic,r16654024t.png,r16654024t.png,384x384,384x384,valid
lolv2_synthetic,r1683028at.png,r1683028at.png,384x384,384x384,valid
lolv2_synthetic,r1694427et.png,r1694427et.png,384x384,384x384,valid
lolv2_synthetic,r170632f5t.png,r170632f5t.png,384x384,384x384,valid
lolv2_synthetic,r17217693t.png,r17217693t.png,384x384,384x384,valid
lolv2_synthetic,r181768b7t.png,r181768b7t.png,384x384,384x384,valid
lolv2_synthetic,r1824034et.png,r1824034et.png,384x384,384x384,valid
lolv2_synthetic,r185929e9t.png,r185929e9t.png,384x384,384x384,valid
lolv2_synthetic,r18791531t.png,r18791531t.png,384x384,384x384,valid
lolv2_synthetic,r18798194t.png,r18798194t.png,384x384,384x384,valid
lolv2_synthetic,r1889220ft.png,r1889220ft.png,384x384,384x384,valid
lolv2_synthetic,r18990432t.png,r18990432t.png,384x384,384x384,valid
lolv2_synthetic,r1904147dt.png,r1904147dt.png,384x384,384x384,valid
lolv2_synthetic,r191488c6t.png,r191488c6t.png,384x384,384x384,valid
lolv2_synthetic,r1915909et.png,r1915909et.png,384x384,384x384,valid
lolv2_synthetic,r19183258t.png,r19183258t.png,384x384,384x384,valid
lolv2_synthetic,r197770adt.png,r197770adt.png,384x384,384x384,valid
lsrw_huawei,2037.jpg,2037.jpg,600x400,960x720,shape_mismatch
lsrw_huawei,2038.jpg,2038.jpg,960x720,960x720,valid
lsrw_huawei,2039.jpg,2039.jpg,960x720,960x720,valid
lsrw_huawei,2040.jpg,2040.jpg,600x400,960x720,shape_mismatch
lsrw_huawei,2041.jpg,2041.jpg,960x720,960x720,valid
lsrw_huawei,2042.jpg,2042.jpg,960x720,960x720,valid
lsrw_huawei,2043.jpg,2043.jpg,960x720,960x720,valid
lsrw_huawei,2044.jpg,2044.jpg,960x720,960x720,valid
lsrw_huawei,2045.jpg,2045.jpg,600x400,960x720,shape_mismatch
lsrw_huawei,2046.jpg,2046.jpg,960x720,960x720,valid
lsrw_huawei,2047.jpg,2047.jpg,960x720,960x720,valid
lsrw_huawei,2048.jpg,2048.jpg,600x400,600x400,valid
lsrw_huawei,2049.jpg,2049.jpg,600x400,960x720,shape_mismatch
lsrw_huawei,2050.jpg,2050.jpg,960x720,960x720,valid
lsrw_huawei,2051.jpg,2051.jpg,960x720,960x720,valid
lsrw_huawei,2052.jpg,2052.jpg,960x720,960x720,valid
lsrw_huawei,2053.jpg,2053.jpg,960x720,960x720,valid
lsrw_huawei,2054.jpg,2054.jpg,960x720,960x720,valid
lsrw_huawei,2055.jpg,2055.jpg,960x720,960x720,valid
lsrw_huawei,2056.jpg,2056.jpg,960x720,960x720,valid
lsrw_huawei,2057.jpg,2057.jpg,960x720,960x720,valid
lsrw_huawei,2058.jpg,2058.jpg,960x720,960x720,valid
lsrw_huawei,2059.jpg,2059.jpg,960x720,960x720,valid
lsrw_huawei,2060.jpg,2060.jpg,600x400,960x720,shape_mismatch
lsrw_huawei,2061.jpg,2061.jpg,960x720,960x720,valid
lsrw_huawei,2062.jpg,2062.jpg,600x400,960x720,shape_mismatch
lsrw_huawei,2063.jpg,2063.jpg,960x720,960x720,valid
lsrw_huawei,2064.jpg,2064.jpg,960x720,960x720,valid
lsrw_huawei,2065.jpg,2065.jpg,960x720,960x720,valid
lsrw_huawei,2066.jpg,2066.jpg,600x400,960x720,shape_mismatch
lsrw_nikon,3001.jpg,3001.jpg,960x640,960x640,valid
lsrw_nikon,3002.jpg,3002.jpg,960x640,960x640,valid
lsrw_nikon,3003.jpg,3003.jpg,960x640,960x640,valid
lsrw_nikon,3004.jpg,3004.jpg,960x640,960x640,valid
lsrw_nikon,3005.jpg,3005.jpg,960x640,960x640,valid
lsrw_nikon,3006.jpg,3006.jpg,960x640,960x640,valid
lsrw_nikon,3007.jpg,3007.jpg,960x640,960x640,valid
lsrw_nikon,3008.jpg,3008.jpg,960x640,960x640,valid
lsrw_nikon,3009.jpg,3009.jpg,600x400,960x640,shape_mismatch
lsrw_nikon,3010.jpg,3010.jpg,960x640,960x640,valid
lsrw_nikon,3011.jpg,3011.jpg,600x400,960x640,shape_mismatch
lsrw_nikon,3012.jpg,3012.jpg,960x640,960x640,valid
lsrw_nikon,3013.jpg,3013.jpg,960x640,960x640,valid
lsrw_nikon,3014.jpg,3014.jpg,960x640,960x640,valid
lsrw_nikon,3015.jpg,3015.jpg,960x640,960x640,valid
lsrw_nikon,3016.jpg,3016.jpg,960x640,960x640,valid
lsrw_nikon,3017.jpg,3017.jpg,960x640,960x640,valid
lsrw_nikon,3018.jpg,3018.jpg,960x640,600x400,shape_mismatch
lsrw_nikon,3019.jpg,3019.jpg,960x640,960x640,valid
lsrw_nikon,3020.jpg,3020.jpg,600x400,960x640,shape_mismatch
ve_lol_synthetic,r00816405t.png,r00816405t.png,384x384,384x384,valid
ve_lol_synthetic,r00869422t.png,r00869422t.png,384x384,384x384,valid
ve_lol_synthetic,r00879054t.png,r00879054t.png,384x384,384x384,valid
ve_lol_synthetic,r01058910t.png,r01058910t.png,384x384,384x384,valid
ve_lol_synthetic,r01170470t.png,r01170470t.png,384x384,384x384,valid
ve_lol_synthetic,r01474187t.png,r01474187t.png,384x384,384x384,valid
ve_lol_synthetic,r0150031ft.png,r0150031ft.png,384x384,384x384,valid
ve_lol_synthetic,r01559391t.png,r01559391t.png,384x384,384x384,valid
ve_lol_synthetic,r02189767t.png,r02189767t.png,384x384,384x384,valid
ve_lol_synthetic,r02354285t.png,r02354285t.png,384x384,384x384,valid
ve_lol_synthetic,r02508493t.png,r02508493t.png,384x384,384x384,valid
ve_lol_synthetic,r0287344at.png,r0287344at.png,384x384,384x384,valid
ve_lol_synthetic,r02897203t.png,r02897203t.png,384x384,384x384,valid
ve_lol_synthetic,r03193652t.png,r03193652t.png,384x384,384x384,valid
ve_lol_synthetic,r0341853dt.png,r0341853dt.png,384x384,384x384,valid
ve_lol_synthetic,r0372042dt.png,r0372042dt.png,384x384,384x384,valid
ve_lol_synthetic,r04317453t.png,r04317453t.png,384x384,384x384,valid
ve_lol_synthetic,r0465565ct.png,r0465565ct.png,384x384,384x384,valid
ve_lol_synthetic,r05243256t.png,r05243256t.png,384x384,384x384,valid
ve_lol_synthetic,r05772356t.png,r05772356t.png,384x384,384x384,valid
ve_lol_synthetic,r05839451t.png,r05839451t.png,384x384,384x384,valid
ve_lol_synthetic,r0589558at.png,r0589558at.png,384x384,384x384,valid
ve_lol_synthetic,r0603031et.png,r0603031et.png,384x384,384x384,valid
ve_lol_synthetic,r068812d7t.png,r068812d7t.png,384x384,384x384,valid
ve_lol_synthetic,r0703243bt.png,r0703243bt.png,384x384,384x384,valid
ve_lol_synthetic,r0708431at.png,r0708431at.png,384x384,384x384,valid
ve_lol_synthetic,r072421a1t.png,r072421a1t.png,384x384,384x384,valid
ve_lol_synthetic,r072649fdt.png,r072649fdt.png,384x384,384x384,valid
ve_lol_synthetic,r07598392t.png,r07598392t.png,384x384,384x384,valid
ve_lol_synthetic,r0773471dt.png,r0773471dt.png,384x384,384x384,valid
ve_lol_synthetic,r077507cat.png,r077507cat.png,384x384,384x384,valid
ve_lol_synthetic,r08079988t.png,r08079988t.png,384x384,384x384,valid
ve_lol_synthetic,r0809811bt.png,r0809811bt.png,384x384,384x384,valid
ve_lol_synthetic,r082626aft.png,r082626aft.png,384x384,384x384,valid
ve_lol_synthetic,r084889d5t.png,r084889d5t.png,384x384,384x384,valid
ve_lol_synthetic,r08788547t.png,r08788547t.png,384x384,384x384,valid
ve_lol_synthetic,r08873591t.png,r08873591t.png,384x384,384x384,valid
ve_lol_synthetic,r08996953t.png,r08996953t.png,384x384,384x384,valid
ve_lol_synthetic,r0905697bt.png,r0905697bt.png,384x384,384x384,valid
ve_lol_synthetic,r09245347t.png,r09245347t.png,384x384,384x384,valid
ve_lol_synthetic,r09445479t.png,r09445479t.png,384x384,384x384,valid
ve_lol_synthetic,r09670876t.png,r09670876t.png,384x384,384x384,valid
ve_lol_synthetic,r096982ddt.png,r096982ddt.png,384x384,384x384,valid
ve_lol_synthetic,r097088c1t.png,r097088c1t.png,384x384,384x384,valid
ve_lol_synthetic,r097555c4t.png,r097555c4t.png,384x384,384x384,valid
ve_lol_synthetic,r104153eat.png,r104153eat.png,384x384,384x384,valid
ve_lol_synthetic,r107730b5t.png,r107730b5t.png,384x384,384x384,valid
ve_lol_synthetic,r108301e3t.png,r108301e3t.png,384x384,384x384,valid
ve_lol_synthetic,r10893508t.png,r10893508t.png,384x384,384x384,valid
ve_lol_synthetic,r10940798t.png,r10940798t.png,384x384,384x384,valid
ve_lol_synthetic,r113402d4t.png,r113402d4t.png,384x384,384x384,valid
ve_lol_synthetic,r1148801et.png,r1148801et.png,384x384,384x384,valid
ve_lol_synthetic,r116825e2t.png,r116825e2t.png,384x384,384x384,valid
ve_lol_synthetic,r11850456t.png,r11850456t.png,384x384,384x384,valid
ve_lol_synthetic,r12133015t.png,r12133015t.png,384x384,384x384,valid
ve_lol_synthetic,r125034a9t.png,r125034a9t.png,384x384,384x384,valid
ve_lol_synthetic,r125442fat.png,r125442fat.png,384x384,384x384,valid
ve_lol_synthetic,r127608abt.png,r127608abt.png,384x384,384x384,valid
ve_lol_synthetic,r12946364t.png,r12946364t.png,384x384,384x384,valid
ve_lol_synthetic,r1301676dt.png,r1301676dt.png,384x384,384x384,valid
ve_lol_synthetic,r13073518t.png,r13073518t.png,384x384,384x384,valid
ve_lol_synthetic,r1372056ct.png,r1372056ct.png,384x384,384x384,valid
ve_lol_synthetic,r13837601t.png,r13837601t.png,384x384,384x384,valid
ve_lol_synthetic,r13907965t.png,r13907965t.png,384x384,384x384,valid
ve_lol_synthetic,r13928401t.png,r13928401t.png,384x384,384x384,valid
ve_lol_synthetic,r141665bdt.png,r141665bdt.png,384x384,384x384,valid
ve_lol_synthetic,r141669e5t.png,r141669e5t.png,384x384,384x384,valid
ve_lol_synthetic,r1419078bt.png,r1419078bt.png,384x384,384x384,valid
ve_lol_synthetic,r142335f0t.png,r142335f0t.png,384x384,384x384,valid
ve_lol_synthetic,r142787e2t.png,r142787e2t.png,384x384,384x384,valid
ve_lol_synthetic,r14289905t.png,r14289905t.png,384x384,384x384,valid
ve_lol_synthetic,r145215fft.png,r145215fft.png,384x384,384x384,valid
ve_lol_synthetic,r145221d9t.png,r145221d9t.png,384x384,384x384,valid
ve_lol_synthetic,r146771d7t.png,r146771d7t.png,384x384,384x384,valid
ve_lol_synthetic,r150058a4t.png,r150058a4t.png,384x384,384x384,valid
ve_lol_synthetic,r15885978t.png,r15885978t.png,384x384,384x384,valid
ve_lol_synthetic,r15919202t.png,r15919202t.png,384x384,384x384,valid
ve_lol_synthetic,r1602555bt.png,r1602555bt.png,384x384,384x384,valid
ve_lol_synthetic,r163317d6t.png,r163317d6t.png,384x384,384x384,valid
ve_lol_synthetic,r163967d4t.png,r163967d4t.png,384x384,384x384,valid
ve_lol_synthetic,r16422663t.png,r16422663t.png,384x384,384x384,valid
ve_lol_synthetic,r16509308t.png,r16509308t.png,384x384,384x384,valid
ve_lol_synthetic,r165355c0t.png,r165355c0t.png,384x384,384x384,valid
ve_lol_synthetic,r16654024t.png,r16654024t.png,384x384,384x384,valid
ve_lol_synthetic,r1683028at.png,r1683028at.png,384x384,384x384,valid
ve_lol_synthetic,r1694427et.png,r1694427et.png,384x384,384x384,valid
ve_lol_synthetic,r170632f5t.png,r170632f5t.png,384x384,384x384,valid
ve_lol_synthetic,r17217693t.png,r17217693t.png,384x384,384x384,valid
ve_lol_synthetic,r181768b7t.png,r181768b7t.png,384x384,384x384,valid
ve_lol_synthetic,r1824034et.png,r1824034et.png,384x384,384x384,valid
ve_lol_synthetic,r185929e9t.png,r185929e9t.png,384x384,384x384,valid
ve_lol_synthetic,r18791531t.png,r18791531t.png,384x384,384x384,valid
ve_lol_synthetic,r18798194t.png,r18798194t.png,384x384,384x384,valid
ve_lol_synthetic,r1889220ft.png,r1889220ft.png,384x384,384x384,valid
ve_lol_synthetic,r18990432t.png,r18990432t.png,384x384,384x384,valid
ve_lol_synthetic,r1904147dt.png,r1904147dt.png,384x384,384x384,valid
ve_lol_synthetic,r191488c6t.png,r191488c6t.png,384x384,384x384,valid
ve_lol_synthetic,r1915909et.png,r1915909et.png,384x384,384x384,valid
ve_lol_synthetic,r19183258t.png,r19183258t.png,384x384,384x384,valid
ve_lol_synthetic,r197770adt.png,r197770adt.png,384x384,384x384,valid
